sno,battery_model,battery_type,voltage,current,capacity_ah,weight_kg,manufacturer,production_date,warranty_years
1,Model_1,Lithium Ion,6.47,5.14,96.74,24.51,Maker_59,2025-04-25,1
2,Model_2,Lithium Ion,3.42,6.65,143.83,10.49,Maker_35,2024-07-24,1
3,Model_3,Lithium Ion,3.71,10.86,73.14,10.02,Maker_54,2025-09-05,3
4,Model_4,Lithium Phosphate,6.89,7.93,114.59,19.42,Maker_44,2023-08-12,2
5,Model_5,Lithium Phosphate,4.71,10.68,54.64,18.98,Maker_20,2026-01-01,5
6,Model_6,Lithium Phosphate,4.54,10.97,87.70,14.01,Maker_20,2024-12-12,1
7,Model_7,Lithium Ion,4.44,8.11,83.77,10.08,Maker_61,2025-10-11,3
8,Model_8,Lithium Ion,3.09,6.60,52.46,6.00,Maker_77,2026-02-19,1
9,Model_9,Lithium Ion,6.67,8.16,130.93,11.74,Maker_13,2023-11-21,2
10,Model_10,Lithium Phosphate,4.63,9.52,59.47,9.54,Maker_77,2024-04-12,3
11,Model_11,Lithium Phosphate,6.74,9.61,92.89,23.98,Maker_14,2024-08-22,1
12,Model_12,Lithium Phosphate,4.79,6.29,103.13,22.94,Maker_37,2023-07-21,2
13,Model_13,Lithium Phosphate,7.90,1.44,104.59,7.16,Maker_41,2025-01-08,2
14,Model_14,Lithium Phosphate,7.69,5.82,79.88,10.56,Maker_19,2025-04-16,2
15,Model_15,Lithium Ion,5.61,5.32,103.77,6.60,Maker_63,2024-11-05,4
16,Model_16,Lithium Ion,6.84,4.48,76.12,22.66,Maker_16,2024-06-06,4
17,Model_17,Lithium Ion,3.09,8.15,91.33,23.27,Maker_70,2023-10-13,1
18,Model_18,Lithium Phosphate,6.82,7.53,54.69,13.12,Maker_94,2023-08-26,2
19,Model_19,Lithium Ion,3.85,6.43,97.82,16.78,Maker_7,2023-12-31,4
20,Model_20,Lithium Phosphate,7.57,10.05,61.89,5.88,Maker_84,2024-10-22,1
21,Model_21,Lithium Phosphate,3.22,9.52,51.88,14.64,Maker_72,2024-07-22,1
22,Model_22,Lithium Phosphate,6.95,9.75,110.10,24.11,Maker_33,2024-02-17,5
23,Model_23,Lithium Ion,6.88,6.24,67.70,8.30,Maker_83,2024-07-10,2
24,Model_24,Lithium Phosphate,3.98,7.56,93.62,24.33,Maker_96,2025-05-22,4
25,Model_25,Lithium Ion,3.57,2.93,51.45,20.32,Maker_98,2026-03-05,4
26,Model_26,Lithium Phosphate,6.16,2.03,115.46,22.14,Maker_31,2025-03-02,4
27,Model_27,Lithium Ion,5.46,4.94,106.57,8.01,Maker_5,2024-11-27,3
28,Model_28,Lithium Ion,5.88,8.47,59.52,10.29,Maker_74,2025-07-02,1
29,Model_29,Lithium Ion,6.70,3.57,90.87,10.88,Maker_66,2025-04-01,4
30,Model_30,Lithium Ion,3.86,9.35,91.45,14.64,Maker_93,2024-01-03,1
31,Model_31,Lithium Phosphate,7.96,9.68,76.66,14.97,Maker_53,2024-05-21,2
32,Model_32,Lithium Phosphate,6.75,5.55,128.87,12.70,Maker_85,2025-01-27,2
33,Model_33,Lithium Ion,7.33,10.64,74.31,15.49,Maker_50,2025-03-06,4
34,Model_34,Lithium Phosphate,4.55,10.97,51.85,9.15,Maker_19,2025-11-04,3
35,Model_35,Lithium Phosphate,3.20,8.55,96.98,22.26,Maker_47,2024-05-05,4
36,Model_36,Lithium Ion,5.45,2.94,117.85,17.26,Maker_24,2024-06-17,1
37,Model_37,Lithium Phosphate,3.01,8.54,123.23,20.69,Maker_90,2024-01-28,3
38,Model_38,Lithium Ion,6.24,6.51,148.07,12.29,Maker_20,2024-08-28,1
39,Model_39,Lithium Ion,3.69,9.05,123.61,13.35,Maker_21,2024-11-21,4
40,Model_40,Lithium Ion,6.90,2.65,141.75,19.17,Maker_13,2024-01-12,5
41,Model_41,Lithium Ion,4.46,2.70,70.15,14.95,Maker_3,2023-10-17,3
42,Model_42,Lithium Ion,6.66,8.41,58.53,7.32,Maker_77,2025-07-06,3
43,Model_43,Lithium Phosphate,3.33,7.12,108.01,15.35,Maker_52,2026-01-21,2
44,Model_44,Lithium Ion,7.17,4.50,106.37,23.44,Maker_69,2024-02-19,5
45,Model_45,Lithium Phosphate,6.52,4.78,121.04,5.64,Maker_94,2023-10-15,1
46,Model_46,Lithium Phosphate,6.02,10.67,88.38,6.34,Maker_87,2024-08-26,4
47,Model_47,Lithium Phosphate,5.37,1.26,70.22,19.78,Maker_3,2023-12-04,2
48,Model_48,Lithium Phosphate,5.39,10.57,122.32,9.97,Maker_47,2023-08-30,2
49,Model_49,Lithium Ion,4.36,10.66,66.25,7.76,Maker_45,2024-07-17,5
50,Model_50,Lithium Phosphate,3.46,6.97,100.80,13.77,Maker_73,2023-12-07,3
51,Model_51,Lithium Phosphate,4.16,3.42,83.51,19.09,Maker_1,2024-03-28,4
52,Model_52,Lithium Ion,6.79,7.48,57.31,8.70,Maker_48,2023-10-21,4
53,Model_53,Lithium Ion,7.24,4.85,75.20,24.45,Maker_17,2026-03-03,2
54,Model_54,Lithium Ion,6.77,6.93,74.82,12.23,Maker_71,2025-04-11,5
55,Model_55,Lithium Ion,3.94,1.04,106.52,10.56,Maker_20,2025-07-16,4
56,Model_56,Lithium Phosphate,6.27,3.46,101.69,6.63,Maker_62,2025-12-27,1
57,Model_57,Lithium Ion,7.50,2.31,92.18,19.59,Maker_72,2025-08-03,2
58,Model_58,Lithium Phosphate,3.63,10.16,70.94,21.52,Maker_91,2024-06-07,4
59,Model_59,Lithium Phosphate,5.81,7.26,81.05,24.17,Maker_44,2024-02-12,2
60,Model_60,Lithium Ion,4.07,5.01,110.78,17.13,Maker_69,2023-08-04,1
61,Model_61,Lithium Phosphate,5.53,9.38,98.44,13.56,Maker_71,2026-01-12,2
62,Model_62,Lithium Phosphate,7.25,8.41,69.32,19.07,Maker_77,2023-09-16,3
63,Model_63,Lithium Ion,6.25,10.41,141.42,18.59,Maker_0,2023-07-22,2
64,Model_64,Lithium Ion,7.89,8.77,135.66,19.20,Maker_88,2024-02-09,4
65,Model_65,Lithium Ion,4.91,8.68,128.56,9.48,Maker_47,2025-10-28,1
66,Model_66,Lithium Ion,6.87,2.58,141.98,16.79,Maker_1,2023-10-19,4
67,Model_67,Lithium Phosphate,4.39,3.57,99.89,13.03,Maker_42,2024-11-14,1
68,Model_68,Lithium Phosphate,6.02,7.03,140.24,10.41,Maker_31,2024-08-12,3
69,Model_69,Lithium Phosphate,3.31,2.74,95.56,14.41,Maker_84,2025-02-01,5
70,Model_70,Lithium Phosphate,6.80,6.39,143.76,16.10,Maker_64,2024-11-28,1
71,Model_71,Lithium Phosphate,6.79,7.40,114.84,20.64,Maker_41,2024-02-29,1
72,Model_72,Lithium Ion,5.81,8.63,136.78,13.76,Maker_43,2024-10-23,4
